,HiveID,FoodLocs
143,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
144,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
145,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
146,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
147,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
148,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
149,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
150,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
151,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
152,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
153,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
154,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
155,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
156,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
157,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
158,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
159,42,"[(27, 10), (27, 10), (38, 15), (35, 6), (23, 21), (40, 14), (42, 6), (27, 10), (23, 16), (26, 24), (32, 19)]"
